,Index No,Result
1,20000561,C
2,20001088,C
3,20001592,C-
4,21000018,F
5,21000026,C
6,21000034,A
7,21000042,B+
8,21000052,D+
9,21000069,A-
10,21000077,A
11,21000085,A-
12,21000093,B
13,21000107,A
14,21000115,A-
15,21000123,A-
16,21000131,B
17,21000141,A
18,21000158,B
19,21000166,C+
20,21000174,B+
21,21000182,C-
22,21000192,B+
23,21000204,B+
24,21000212,C+
25,21000222,C+
26,21000239,B
27,21000247,F
28,21000255,B-
29,21000263,B-
30,21000271,C-
31,21000281,E
32,21000298,A-
33,21000301,B+
34,21000311,C
35,21000328,A
36,21000336,C-
37,21000344,A-
38,21000352,D+
39,21000362,F
40,21000379,A
41,21000387,F
42,21000395,A
43,21000409,B-
44,21000417,B-
45,21000425,C-
46,21000433,B-
47,21000441,D+
48,21000451,A
49,21000468,A
50,21000476,D+
51,21000484,B-
52,21000492,D+
53,21000506,B
54,21000514,B
55,21000522,A-
56,21000532,A
57,21000549,F
58,21000557,A+
59,21000565,C+
60,21000573,A
61,21000581,E
62,21000591,F
63,21000603,A
64,21000611,B-
65,21000621,B-
66,21000638,A
67,21000646,A-
68,21000654,A
69,21000662,C
70,21000672,A
71,21000689,D+
72,21000697,B
73,21000702,F
74,21000719,F
75,21000727,D+
76,21000735,B
77,21000743,B+
78,21000751,C
79,21000761,B
80,21000778,A
81,21000786,F
82,21000794,A-
83,21000808,A-
84,21000816,B
85,21000824,A
86,21000832,A
87,21000842,A-
88,21000859,B-
89,21000867,C
90,21000875,B
91,21000883,A
92,21000891,A-
93,21000905,A-
94,21000913,A
95,21000921,B
96,21000931,B
97,21000948,B
98,21000956,F
99,21000964,B-
100,21000972,F
101,21000982,B-
102,21000999,C
103,21001006,F
104,21001014,A
105,21001022,C
106,21001032,A-
107,21001049,C+
108,21001057,B-
109,21001065,B+
110,21001073,A-
111,21001081,C
112,21001091,A+
113,21001103,A
114,21001111,C
115,21001121,B
116,21001138,A
117,21001146,F
118,21001154,B+
119,21001162,A
120,21001172,B+
121,21001189,D
122,21001197,C-
123,21001202,B-
124,21001219,C+
125,21001227,C-
126,21001235,C+
127,21001243,F
128,21001251,B-
129,21001261,F
130,21001278,A
131,21001286,B+
132,21001294,B+
133,21001308,A
134,21001316,C
135,21001324,C+
136,21001332,A
137,21001342,A
138,21001359,F
139,21001367,D+
140,21001375,A-
141,21001383,B-
142,21001391,B
143,21001405,F
144,21001413,F
145,21001421,B+
146,21001431,A-
147,21001448,B+
148,21001456,B
149,21001464,A
150,21001472,B
151,21001482,B-
152,21001499,A-
153,21001502,B+
154,21001512,B
155,21001529,B+
156,21001537,F
157,21001545,B+
158,21001553,A
159,21001561,B
160,21001571,F
161,21001588,F
162,21001596,A
163,21001601,A
164,21001618,F
165,21001626,F
166,21001634,B+
167,21001642,F
168,21001652,A-
169,21001669,A-
170,21001677,C+
171,21001685,B+
172,21001693,B-
173,21001707,A
174,21001715,B+
175,21001723,A
176,21001731,B+
177,21001741,C+
178,21001758,C+
179,21001766,A
180,21001774,F
181,21001782,A
182,21001792,A-
183,21001804,C+
184,21001812,A
185,21001822,B-
186,21001839,C+
187,21001847,B
188,21001855,B-
189,21001863,B-
190,21001871,B
191,21001881,B
192,21001898,F
193,21001901,A
194,21001911,C
195,21001928,C
196,21001936,A-
197,21001944,B-
198,21001952,B
199,21001962,C+
200,21001979,C-
201,21001987,A-
202,21001995,A
203,21002002,A
204,21002012,E
205,21002029,A+
206,21002037,C+
207,21002045,A-
208,21002053,E
209,21002061,B+
210,21002071,A
211,21002088,A
212,21002096,B+
213,21002101,F
214,21002118,B-
215,21002126,A
216,21002134,B-
217,21002142,C
218,21002152,A
219,21002169,A
220,21002177,B-
221,21002185,A
222,21002193,C+
223,21002207,C-
224,21002215,B-
225,21002223,F
226,21002231,F
227,21002241,A
228,21002258,B
229,21002266,B-
230,21002274,B
231,17000904,F
232,19001304,A-
233,19001703,D+
234,19001959,F
235,20000235,D+
236,20000261,E
237,20000464,C
238,20000898,C-
239,20000936,F
240,20000979,C
241,20001012,D+
242,20001152,F
243,20001428,F
244,20001614,E
245,20001622,D+
246,20001649,C
247,20001802,C-
248,20001886,C
249,20001991,F
250,20002173,C+
251,20002221,C
