Index,Programming Using C,Database I,Discrete Mathematics I,Computer Systems,Laboratory I,Software Engineering I,Data Structures and Algorithms II,Object Oriented Programming,Software Engineering II,Mathematical Methods I,Foundation of Computer Science,Probability and Statistics,Operating Systems I
19000138,F,F,F,F,F,F,F,F,F,F,F,F,F
19001363,C+,D+,E,C-,C,C,C-,C,D,D,E,E,B
20000014,A+,A-,A+,A+,A+,A+,A,A+,A,A,A+,A,A+
20000022,A,A-,B,A-,A-,A-,A-,A,B,C-,B,B-,B-
20000032,B,B-,D,D,C-,C-,E,D,D+,D+,E,D,D+
20000049,A,B+,A,A,A,A+,B,B+,A,C+,A,B,A
20000057,A-,B+,A-,B+,B-,A,B,A,A-,C,B-,C+,A
20000065,A,B,A-,B+,B+,B-,B-,B+,B-,C,C,D+,A
20000073,A+,A-,A,A+,A,A,B+,A+,A,A-,A,A-,A
20000081,A,B+,B,A-,A,A,B+,A,B+,C+,C,B+,A-
20000091,A-,B,C,C+,B+,C+,B-,B+,B-,C,D+,C-,B-
20000103,A+,A,A+,A+,A,A,A,A,A,A-,A,A,A+
20000111,A,A-,B,B-,A,A-,A-,A,B-,B-,B-,B+,A
20000121,C+,E,D+,E,D,E,E,D,D+,E,E,E,D
20000138,B+,B+,C,C+,B-,A-,B,D+,B-,D,D,C+,A
20000146,A+,A,B+,A,A,A,A,A+,A,B,A,B+,A
20000154,A+,B+,A,B,A-,A,A-,A,A-,D+,B-,B+,A
20000162,A+,A,A-,A-,A,B+,A,A+,A-,B-,C+,B+,A+
20000172,A+,A,A,A,A-,A,A,A+,B+,B-,A-,A-,A+
20000189,A,B+,C+,B-,B-,C+,B+,B+,B-,C-,D,C,B-
20000197,A,B-,B+,A-,A-,A,B+,A,B-,C,C+,B,A
20000202,A,A-,B+,B,B+,A,A,A-,B+,D,C,C,B
20000219,A+,A,C,A-,A-,A,A-,A,A,C+,C,A-,A
20000227,A,A-,B+,B,B+,C+,B-,A,A,C,E,C+,B
20000235,C,D+,D+,C,B-,C-,C,D+,C+,D,E,D,D+
20000243,B+,A,B,B-,C+,C-,B,B+,B+,B-,D,B-,A
20000251,A+,A,A,A+,A,A,A-,A+,B,B,A,A,A
20000261,D+,C,E,E,C,D+,E,D+,D+,F,E,F,E
20000278,B,C+,C+,C-,C,C-,D,B,A+,D,C,C,B
20000286,A+,A,A,A,A-,A-,A,A+,A-,A-,A-,A-,A
20000294,A,B-,B-,C,A-,A,A-,F,F,E,C-,D+,C-
20000308,A,A,A-,A,A-,C+,B+,A,A-,B,A-,A,A-
20000316,A+,A-,A-,A,A,A+,A,A+,A,C+,A,A,A+
20000324,B,B,B,C+,C+,C,C+,B-,C+,C+,D,D+,B-
20000332,A,B+,B-,C,B+,B-,B-,A,A-,C,C+,C+,A
20000342,A-,C+,B-,B-,B,B,B-,B+,C+,E,D+,C+,B+
20000359,A-,A-,C,B,C,C+,C,A,B,D,C,A,C
20000367,A+,A,A,A+,A,A+,A,A+,A+,A-,A+,A,A+
20000375,A+,A,A,A,A-,A,B,A,A,C-,B,A,A+
20000383,B+,B-,B-,B,B-,B-,B-,A-,B-,C+,E,C,C
20000391,A,A-,A-,A,A,A,A,A,A,C,C,B,A
20000405,A,B-,C-,C+,B+,B,B-,A,C+,E,E,E,B-
20000413,A+,A,A-,A,A,A,A,A+,A,C+,A-,A-,A+
20000421,A-,B,B,B,B+,B+,B+,A,B,C,C+,A-,A
20000431,A+,A,A,A,A-,A+,A,A,A,C+,A-,A,A+
20000448,A,B+,B-,A-,A,A,A,A,A-,C,C,B,A-
20000456,A,B+,C,B-,B,B-,B,B,B+,D+,C-,B-,A
20000464,B-,C+,E,D+,B-,D,D+,D,D+,D,E,E,D+
20000472,A,B+,B+,B,B+,A-,B-,A-,B+,D,B,B-,A-
20000482,A,A-,C+,B,B,A,B+,A,B+,D+,C,B-,A+
20000499,A+,A,A+,A,A,A,A,A+,A,B,A,A-,A
20000502,A,A-,B-,B+,A,A-,B+,B+,B+,C-,B-,C+,B+
20000512,A+,A,A+,A+,A,A+,A,A+,A,A-,A+,A,A+
20000529,A-,B,C+,C,B-,B,B+,B+,C+,E,C-,B-,C+
20000537,A,A-,B+,B+,C+,B,A-,A,A-,B-,B-,B+,A
20000545,A+,A,A,A-,A,A+,A,A+,A,C+,B+,A,A
20000553,A+,B+,B-,B-,B-,B,C+,A-,B+,C,C,C+,B-
20000561,F,F,F,F,F,F,F,F,F,F,F,F,F
20000571,A,A,B+,B+,B+,A,A-,A-,B,C+,B-,B-,A
20000588,A,A-,B-,B,B,B,B,B+,B-,C-,C,C,A
20000596,A,A,B+,B-,A-,A-,B,A-,A-,C-,C,C+,A
20000601,A-,A-,B,A,B-,C,C+,A,B,D+,D+,C,B+
20000618,A+,A-,A,A,A-,A-,B-,A+,B-,C+,B,B+,A
20000626,A,B,B-,B-,B+,B-,B+,A-,B,D+,D+,B-,A-
20000634,A+,B+,B,B-,B+,A,B+,A,A,C-,F,B,A
20000642,A,B+,B+,C+,B+,A,B+,A,A,B-,C,B+,A
20000652,A,A,B,B-,B+,C,B,A-,B+,C+,B-,B-,B+
20000669,A+,A,A,A,A-,A-,A,A+,A,B,A,B,A+
